user_id,persona,months_of_history,n_transactions,income_regularity,avg_monthly_income,savings_ratio,bill_payment_count,bill_payment_regularity,transaction_diversity,spending_to_income_ratio,balance_volatility,max_single_txn_pct_balance,circular_transfer_flag,balance_consistency_pass,composite_score,risk_label,tier
U0047_d1fedb,stable_shop_owner,7,227,0.532,3378.04,-0.019,19,0.179,0.907,1.019,1.641,5.19,False,True,0.37595,low_risk,Platinum/Gold
U0048_a2b320,thin_file_new_user,2,32,0.667,875.86,-0.852,5,0.0,0.908,1.852,1.878,3.49,False,True,0.36965,insufficient_history,Pending - Needs More History
U0049_7818c7,stable_shop_owner,7,239,0.58,5262.27,0.027,28,0.0,0.834,0.973,1.559,4.17,False,True,0.33349999999999996,medium_risk,Silver
U0050_1617e9,stable_shop_owner,7,221,0.251,6363.89,-0.003,25,0.138,0.887,1.003,1.607,3.87,False,True,0.2623,high_risk,Bronze
U0051_65cc25,stable_shop_owner,7,259,0.353,4253.02,-0.012,23,0.0,0.862,1.012,1.507,5.82,False,True,0.25284999999999996,high_risk,Bronze
U0052_273ce3,risky_irregular,7,174,0.214,2685.82,-0.034,12,0.027,0.841,1.034,1.684,5.5,False,True,0.20914999999999997,high_risk,Bronze
U0053_3aa400,thin_file_new_user,2,24,0.0,1666.72,-0.765,3,0.501,0.844,1.765,1.154,3.53,False,True,0.2769,insufficient_history,Pending - Needs More History
U0054_197147,thin_file_new_user,2,13,0.0,698.98,-1.8,2,0.0,0.933,2.8,1.279,2.77,False,True,0.13995,insufficient_history,Pending - Needs More History
U0055_aa570a,risky_irregular,7,165,0.0,2266.39,-0.028,12,0.176,0.922,1.028,1.607,5.69,False,True,0.1911,high_risk,Bronze
U0056_f58bb6,gig_worker,7,330,0.296,6227.7,-0.001,35,0.19,0.894,1.001,1.457,4.18,False,True,0.29469999999999996,high_risk,Bronze
U0057_0db3ef,gig_worker,7,329,0.0,7427.97,-0.046,23,0.037,0.888,1.046,1.79,5.79,False,True,0.14429999999999998,high_risk,Bronze
U0058_6107a3,stable_shop_owner,7,247,0.488,3595.92,-0.016,19,0.219,0.85,1.016,1.658,7.13,False,True,0.364,medium_risk,Silver
U0059_2762b4,stable_shop_owner,7,256,0.548,5330.12,-0.004,19,0.015,0.874,1.004,1.615,3.74,False,True,0.3274,medium_risk,Silver
U0060_68665a,thin_file_new_user,2,32,0.651,2890.34,0.035,6,0.0,0.928,0.965,1.727,2.39,False,True,0.37405,insufficient_history,Pending - Needs More History
U0061_1ec4a7,gig_worker,7,319,0.27,7110.7,-0.024,31,0.0,0.899,1.024,1.527,3.57,False,True,0.22935,high_risk,Bronze
U0062_4a2111,gig_worker,7,335,0.444,3853.59,-0.036,43,0.0,0.872,1.036,1.829,8.47,False,True,0.2862,high_risk,Bronze
U0063_8b64ea,risky_irregular,7,151,0.286,3904.13,0.034,16,0.0,0.853,0.966,1.683,7.49,False,True,0.23484999999999995,high_risk,Bronze
U0064_1973d6,thin_file_new_user,2,32,0.792,1746.14,0.03,2,0.0,0.862,0.97,1.093,2.51,False,True,0.4125,insufficient_history,Pending - Needs More History
U0065_a657b2,gig_worker,7,362,0.641,4564.23,-0.018,36,0.03,0.871,1.018,1.606,5.69,False,True,0.364,medium_risk,Silver
U0066_9e4354,gig_worker,7,289,0.644,5994.31,-0.001,31,0.0,0.864,1.001,1.458,3.83,False,True,0.355,medium_risk,Silver
U0067_84b6c3,seasonal_farmer,6,83,0.0,164576.05,0.894,6,0.494,0.885,0.106,0.589,0.08,False,True,0.45975,low_risk,Platinum/Gold
U0068_55f341,stable_shop_owner,7,264,0.635,6402.22,0.029,27,0.0,0.895,0.971,1.663,4.79,False,True,0.36229999999999996,medium_risk,Silver
U0069_4d8b79,seasonal_farmer,7,89,0.189,44693.71,0.63,8,0.234,0.911,0.37,0.508,0.11,True,True,0.39899999999999997,fraud_flag,Rejected - Fraud Review
U0070_9400e4,stable_shop_owner,7,254,0.632,4354.84,-0.001,23,0.0,0.905,1.001,1.461,4.07,False,True,0.35695,medium_risk,Silver
U0071_56f47e,seasonal_farmer,6,52,0.0,43401.45,0.787,7,0.167,0.947,0.213,0.513,0.12,True,True,0.34955,fraud_flag,Rejected - Fraud Review
U0072_133f47,risky_irregular,7,198,0.377,3116.71,-0.076,14,0.0,0.88,1.076,1.874,7.39,False,True,0.26395,high_risk,Bronze
U0073_39ccfe,stable_shop_owner,7,241,0.293,3467.17,0.156,31,0.0,0.914,0.844,2.14,3.28,False,True,0.27085,high_risk,Bronze
U0074_c78ade,stable_shop_owner,7,295,0.557,6599.07,-0.031,34,0.0,0.894,1.031,1.709,3.9,False,True,0.32905,medium_risk,Silver
U0075_bbb37c,stable_shop_owner,7,285,0.662,7914.98,-0.024,22,0.139,0.878,1.024,1.405,4.44,False,True,0.40509999999999996,low_risk,Platinum/Gold
U0076_08d219,stable_shop_owner,7,254,0.44,7186.1,-0.017,19,0.445,0.874,1.017,1.446,3.36,False,True,0.41859999999999997,low_risk,Platinum/Gold
U0077_218884,thin_file_new_user,2,36,0.472,3129.08,-0.167,3,0.168,0.883,1.167,1.272,1.95,False,True,0.34804999999999997,insufficient_history,Pending - Needs More History
U0078_e4067e,gig_worker,7,316,0.446,7278.05,-0.021,28,0.362,0.883,1.021,1.658,5.86,False,True,0.39715,low_risk,Platinum/Gold
U0079_7027d9,risky_irregular,7,195,0.425,1591.84,-0.164,13,0.248,0.863,1.164,1.936,10.45,False,True,0.35259999999999997,medium_risk,Silver
U0080_991c60,thin_file_new_user,2,30,0.0,530.88,-1.66,4,0.0,0.85,2.66,1.893,19.6,False,True,0.1275,insufficient_history,Pending - Needs More History
U0081_91af4d,seasonal_farmer,5,82,0.005,218806.37,0.892,6,0.0,0.873,0.108,0.545,0.09,False,True,0.3111,medium_risk,Silver
U0082_894f21,risky_irregular,7,174,0.112,2750.44,-0.098,16,0.091,0.877,1.098,2.083,11.89,False,True,0.19805,high_risk,Bronze
U0083_320dc0,stable_shop_owner,7,258,0.334,2972.95,-0.095,28,0.128,0.875,1.095,1.787,8.41,False,True,0.28654999999999997,high_risk,Bronze
U0084_b47dac,stable_shop_owner,7,245,0.585,4064.43,-0.034,26,0.024,0.838,1.034,1.816,8.49,False,True,0.33765,medium_risk,Silver
U0085_7eacfa,stable_shop_owner,7,199,0.424,4297.62,-0.025,17,0.023,0.862,1.025,1.715,5.19,False,True,0.28459999999999996,high_risk,Bronze
U0086_e05a4f,thin_file_new_user,2,24,0.358,1433.43,-0.294,3,0.764,0.921,1.294,1.441,4.44,False,True,0.49265,insufficient_history,Pending - Needs More History
U0087_6f6684,gig_worker,7,299,0.544,5815.67,-0.009,32,0.173,0.865,1.009,1.836,5.04,False,True,0.37205,medium_risk,Silver
U0088_a521f3,stable_shop_owner,7,257,0.397,4709.58,-0.005,20,0.083,0.883,1.005,1.525,5.05,False,True,0.2963,high_risk,Bronze
U0089_46a330,gig_worker,7,313,0.794,7974.15,-0.028,34,0.208,0.895,1.028,1.496,5.73,False,True,0.47455,low_risk,Platinum/Gold
U0090_89b7fa,stable_shop_owner,7,249,0.498,6079.94,-0.044,25,0.091,0.873,1.044,1.572,6.25,False,True,0.33254999999999996,medium_risk,Silver
U0091_3f3392,thin_file_new_user,2,35,0.683,2351.26,-0.431,5,0.0,0.981,1.431,1.363,3.84,False,True,0.3862,insufficient_history,Pending - Needs More History
U0092_29eb31,seasonal_farmer,5,71,0.055,72196.06,0.798,8,0.0,0.902,0.202,0.635,0.11,False,True,0.31415000000000004,medium_risk,Silver
U0093_f1357d,seasonal_farmer,4,71,0.351,203163.94,0.943,8,0.135,0.843,0.057,0.612,0.07,False,True,0.47839999999999994,low_risk,Platinum/Gold
U0094_baef73,seasonal_farmer,6,93,0.151,183003.86,0.89,11,0.0,0.916,0.11,0.569,0.08,False,True,0.36824999999999997,medium_risk,Silver
U0095_53a9f1,thin_file_new_user,2,17,0.573,973.92,-0.778,3,0.136,0.955,1.778,1.663,4.64,False,True,0.38459999999999994,insufficient_history,Pending - Needs More History
U0096_3e60a5,seasonal_farmer,6,80,0.0,48400.55,0.67,12,0.0,0.9,0.33,0.591,0.11,True,True,0.269,fraud_flag,Rejected - Fraud Review
U0097_29dd90,stable_shop_owner,7,244,0.377,6459.79,-0.018,17,0.09,0.861,1.018,1.509,4.22,False,True,0.28809999999999997,high_risk,Bronze
U0098_290f35,stable_shop_owner,7,234,0.514,7330.81,-0.006,25,0.0,0.895,1.006,1.616,2.84,False,True,0.31415000000000004,medium_risk,Silver
U0099_d21492,fraud_gaming,7,82,0.0,1828.41,-0.199,5,0.088,0.832,1.199,1.648,10.7,True,False,0.1512,fraud_flag,Rejected - Fraud Review
U0100_dc383c,fraud_gaming,6,73,0.0,2119.1,-0.145,9,0.0,0.913,1.145,1.7,12.57,True,False,0.13695,fraud_flag,Rejected - Fraud Review
U0101_28b43f,thin_file_new_user,2,22,0.0,2131.47,-0.54,4,0.0,0.876,1.54,1.256,2.62,False,True,0.1314,insufficient_history,Pending - Needs More History
U0102_9bc630,stable_shop_owner,7,241,0.252,5284.04,-0.026,27,0.0,0.878,1.026,1.525,4.06,False,True,0.21989999999999998,high_risk,Bronze
U0103_4fe794,fraud_gaming,6,84,0.0,2285.79,-0.069,7,0.0,0.958,1.069,2.017,16.42,True,False,0.1437,fraud_flag,Rejected - Fraud Review
U0104_ce7886,risky_irregular,7,141,0.175,1609.87,-0.118,15,0.0,0.855,1.118,1.858,6.3,False,True,0.1895,high_risk,Bronze
U0105_6a65f7,thin_file_new_user,2,25,0.0,584.48,-1.408,3,0.046,0.786,2.408,1.966,2.1,False,True,0.1317,insufficient_history,Pending - Needs More History
U0106_3f421b,seasonal_farmer,7,74,0.325,47455.19,0.732,11,0.0,0.872,0.268,0.545,0.12,True,True,0.39095,fraud_flag,Rejected - Fraud Review
U0107_525d3c,stable_shop_owner,7,253,0.533,3677.34,-0.064,24,0.157,0.925,1.064,1.672,6.25,False,True,0.3724,low_risk,Platinum/Gold
U0108_87aa12,stable_shop_owner,7,245,0.527,5619.37,-0.067,31,0.0,0.926,1.067,1.569,4.86,False,True,0.32335,medium_risk,Silver
U0109_ad36d2,fraud_gaming,7,88,0.0,2680.91,-0.128,4,0.272,0.886,1.128,1.986,17.8,False,False,0.2145,fraud_flag,Rejected - Fraud Review
U0110_57c7e6,gig_worker,7,328,0.42,7102.69,-0.034,27,0.346,0.884,1.034,1.472,3.85,False,True,0.38339999999999996,low_risk,Platinum/Gold
U0111_ecb3ea,stable_shop_owner,7,211,0.405,7479.0,-0.04,25,0.286,0.883,1.04,1.396,6.22,False,True,0.36,medium_risk,Silver
U0112_482adc,seasonal_farmer,6,84,0.0,126291.08,0.856,5,0.346,0.958,0.144,0.556,0.09,False,True,0.4187,low_risk,Platinum/Gold
U0113_8cd536,gig_worker,7,311,0.663,5508.43,-0.07,25,0.036,0.862,1.07,1.745,8.8,False,True,0.37215,low_risk,Platinum/Gold
U0114_0a5839,stable_shop_owner,7,250,0.345,4692.87,-0.063,25,0.053,0.864,1.063,1.645,6.26,False,True,0.26625,high_risk,Bronze
U0115_8c73aa,risky_irregular,7,116,0.349,894.44,-0.331,8,0.104,0.893,1.331,1.525,10.44,False,True,0.2873,high_risk,Bronze
U0116_c2fd42,risky_irregular,7,176,0.63,1342.85,-0.167,16,0.0,0.88,1.167,3.095,24.28,False,True,0.3525,medium_risk,Silver
U0117_823c3d,thin_file_new_user,2,28,0.177,1676.97,-0.288,4,0.127,0.91,1.288,1.051,2.54,False,True,0.23655,insufficient_history,Pending - Needs More History
U0118_dbd87c,seasonal_farmer,6,83,0.0,179441.16,0.894,10,0.0,0.911,0.106,0.469,0.07,False,True,0.31545,medium_risk,Silver
U0119_1dd10a,thin_file_new_user,2,28,0.544,1494.5,-0.484,3,0.407,0.878,1.484,1.277,4.22,False,True,0.4442,insufficient_history,Pending - Needs More History
U0120_c51655,gig_worker,7,324,0.533,6564.87,-0.028,29,0.203,0.857,1.028,1.5,4.35,False,True,0.376,low_risk,Platinum/Gold
U0121_2a4066,thin_file_new_user,2,26,0.902,3267.16,-0.219,3,0.0,0.89,1.219,0.987,1.23,False,True,0.4492,insufficient_history,Pending - Needs More History
U0122_fbc549,stable_shop_owner,7,273,0.248,7507.18,-0.003,26,0.0,0.871,1.003,1.417,4.84,False,True,0.21744999999999998,high_risk,Bronze
U0123_f18f49,seasonal_farmer,7,65,0.0,62061.53,0.779,7,0.279,0.869,0.221,0.659,0.14,False,True,0.36985,medium_risk,Silver
U0124_67732e,stable_shop_owner,7,264,0.539,5197.42,0.028,31,0.137,0.893,0.972,1.616,6.07,False,True,0.36929999999999996,medium_risk,Silver
U0125_cddd06,gig_worker,7,313,0.746,5209.18,-0.055,25,0.275,0.879,1.055,1.676,6.66,False,True,0.47545000000000004,low_risk,Platinum/Gold
U0126_9f46cc,seasonal_farmer,5,74,0.334,201189.59,0.926,5,0.229,0.832,0.074,0.663,0.09,False,True,0.49560000000000004,low_risk,Platinum/Gold
U0127_0995c5,stable_shop_owner,7,193,0.309,6418.88,-0.024,20,0.167,0.876,1.024,1.4,4.19,False,True,0.28964999999999996,high_risk,Bronze
U0128_6e510a,stable_shop_owner,7,259,0.495,8477.84,0.008,20,0.051,0.839,0.992,1.552,8.82,False,True,0.31599999999999995,medium_risk,Silver
U0129_86890f,gig_worker,7,323,0.59,5519.67,0.027,36,0.015,0.919,0.973,1.676,4.93,False,True,0.35424999999999995,medium_risk,Silver
U0130_71e9f6,stable_shop_owner,7,268,0.371,5699.4,-0.05,31,0.257,0.868,1.05,1.563,6.76,False,True,0.33714999999999995,medium_risk,Silver
U0131_a3966e,fraud_gaming,7,62,0.0,1376.45,-0.191,7,0.172,0.798,1.191,2.228,15.67,True,False,0.1713,fraud_flag,Rejected - Fraud Review
U0132_b00160,gig_worker,7,324,0.627,6297.24,-0.033,30,0.253,0.882,1.033,1.695,6.16,False,True,0.42765,low_risk,Platinum/Gold
U0133_cad8c0,seasonal_farmer,7,108,0.0,125868.32,0.856,10,0.134,0.902,0.144,0.529,0.06,False,True,0.3467,medium_risk,Silver
U0134_81a5af,gig_worker,7,376,0.629,7181.59,-0.032,39,0.002,0.85,1.032,1.801,7.97,False,True,0.34824999999999995,medium_risk,Silver
U0135_8906d1,stable_shop_owner,7,261,0.452,3988.95,-0.013,26,0.438,0.852,1.013,1.759,5.56,False,True,0.4174,low_risk,Platinum/Gold
U0136_c187d4,fraud_gaming,7,54,0.0,1439.31,-0.056,6,0.0,0.892,1.056,2.869,20.21,True,True,0.1338,fraud_flag,Rejected - Fraud Review
U0137_00001b,gig_worker,7,352,0.61,4537.64,-0.033,36,0.187,0.877,1.033,1.784,6.43,False,True,0.40115,low_risk,Platinum/Gold
U0138_2c8057,risky_irregular,7,147,0.0,2159.95,-0.171,12,0.311,0.851,1.171,2.614,13.9,False,True,0.22094999999999998,high_risk,Bronze
U0139_71f505,stable_shop_owner,7,282,0.563,9201.89,0.014,25,0.168,0.898,0.986,1.312,3.39,False,True,0.38494999999999996,low_risk,Platinum/Gold
U0140_e1b0bd,gig_worker,7,294,0.318,4100.25,-0.085,32,0.0,0.88,1.085,1.665,7.49,False,True,0.24330000000000002,high_risk,Bronze
U0141_d17788,gig_worker,7,283,0.611,5899.51,-0.014,29,0.0,0.908,1.014,1.298,3.2,False,True,0.35005,medium_risk,Silver
U0142_f1f4ff,fraud_gaming,6,67,0.0,2488.45,-0.123,6,0.144,0.941,1.123,1.762,12.66,True,False,0.18434999999999999,fraud_flag,Rejected - Fraud Review
U0143_b9d99b,gig_worker,7,305,0.328,6982.55,-0.037,24,0.429,0.871,1.037,1.638,5.13,False,True,0.37415,low_risk,Platinum/Gold
U0144_b3c8b1,gig_worker,7,293,0.433,5308.97,-0.036,31,0.207,0.891,1.036,1.541,4.24,False,True,0.34729999999999994,medium_risk,Silver
U0145_74db62,stable_shop_owner,7,265,0.333,6768.15,0.0,27,0.081,0.918,1.0,1.409,3.44,False,True,0.27854999999999996,high_risk,Bronze
U0146_02e525,seasonal_farmer,5,72,0.0,181533.75,0.89,8,0.0,0.923,0.11,0.659,0.1,False,True,0.31645,medium_risk,Silver
U0147_5fe8cc,gig_worker,7,355,0.579,7691.14,-0.008,32,0.113,0.866,1.008,1.553,4.2,False,True,0.36644999999999994,medium_risk,Silver
U0148_8bfde0,seasonal_farmer,4,50,0.055,64166.81,0.773,7,0.0,0.904,0.227,0.553,0.16,False,True,0.30945,medium_risk,Silver
U0149_e52907,stable_shop_owner,7,248,0.59,5015.1,-0.041,27,0.271,0.891,1.041,1.558,4.73,False,True,0.42145,low_risk,Platinum/Gold
U0150_d13851,risky_irregular,7,151,0.674,3159.08,-0.048,14,0.025,0.883,1.048,1.602,4.6,False,True,0.37585,low_risk,Platinum/Gold
U0151_8ba9ed,risky_irregular,7,145,0.129,1149.01,-0.198,19,0.204,0.903,1.198,2.02,11.82,False,True,0.24179999999999996,high_risk,Bronze
U0152_620960,stable_shop_owner,7,247,0.396,6407.59,-0.039,27,0.0,0.882,1.039,1.456,3.81,False,True,0.27090000000000003,high_risk,Bronze
U0153_ca4578,gig_worker,7,296,0.353,6207.61,0.001,39,0.0,0.894,0.999,1.571,7.24,False,True,0.25784999999999997,high_risk,Bronze
U0154_df5c31,stable_shop_owner,7,235,0.546,5299.38,0.006,26,0.0,0.875,0.994,1.57,3.72,False,True,0.32355,medium_risk,Silver
U0155_93f955,thin_file_new_user,2,33,0.238,2644.35,-0.198,6,0.071,0.946,1.198,1.458,4.31,False,True,0.2465,insufficient_history,Pending - Needs More History
U0156_0d95ff,stable_shop_owner,7,253,0.537,10354.48,0.0,19,0.139,0.878,1.0,1.354,4.06,False,True,0.36135,medium_risk,Silver
U0157_fc0be6,thin_file_new_user,2,26,0.826,1529.14,-0.361,3,0.151,0.903,1.361,1.402,3.22,False,True,0.46985,insufficient_history,Pending - Needs More History
U0158_ca0dbc,thin_file_new_user,2,22,0.634,652.3,-1.7,4,0.7,0.914,2.7,1.563,5.23,False,True,0.569,insufficient_history,Pending - Needs More History
U0159_96fde7,risky_irregular,7,157,0.122,1503.96,-0.223,20,0.024,0.857,1.223,2.872,14.87,False,True,0.17845,high_risk,Bronze
U0160_b3561c,stable_shop_owner,7,270,0.623,6266.32,-0.036,29,0.0,0.922,1.036,1.416,4.02,False,True,0.35635,medium_risk,Silver
U0161_26f437,fraud_gaming,7,59,0.0,1768.73,-0.043,4,0.173,0.882,1.043,1.492,9.71,True,False,0.1842,fraud_flag,Rejected - Fraud Review
U0162_f7fceb,stable_shop_owner,7,242,0.661,5707.95,-0.036,20,0.161,0.884,1.036,1.32,2.61,False,True,0.41225,low_risk,Platinum/Gold
U0163_cce6e2,stable_shop_owner,7,287,0.662,7447.62,-0.048,28,0.14,0.893,1.048,1.313,3.93,False,True,0.40764999999999996,low_risk,Platinum/Gold
U0164_f10fcc,gig_worker,7,297,0.344,6769.01,-0.027,26,0.0,0.889,1.027,1.83,6.93,False,True,0.25375,high_risk,Bronze
U0165_1ad760,seasonal_farmer,6,69,0.114,120014.04,0.89,6,0.829,0.926,0.11,0.579,0.1,False,True,0.6055,low_risk,Platinum/Gold
U0166_846e1b,risky_irregular,7,176,0.589,2559.72,-0.035,13,0.102,0.869,1.035,1.884,11.45,False,True,0.3671,medium_risk,Silver
U0167_8019d2,risky_irregular,7,145,0.497,3375.13,-0.07,13,0.001,0.889,1.07,1.845,6.04,False,True,0.3076,medium_risk,Silver
U0168_846c2f,seasonal_farmer,7,92,0.326,163744.51,0.872,8,0.268,0.939,0.128,0.5,0.07,False,True,0.5097499999999999,low_risk,Platinum/Gold
U0169_ca1d09,fraud_gaming,7,62,0.0,1786.92,-0.082,6,0.0,0.887,1.082,3.716,28.82,True,False,0.13305,fraud_flag,Rejected - Fraud Review
U0170_0daf0e,stable_shop_owner,7,248,0.404,7414.1,-0.046,21,0.309,0.847,1.046,1.56,4.5,False,True,0.36114999999999997,medium_risk,Silver
